datetime,event_type
1738-07-31T00:12:40+00:00,Penumbral lunar eclipse
1738-08-29T09:50:34+00:00,Penumbral lunar eclipse
1739-01-24T23:13:30+00:00,Partial lunar eclipse
1739-07-20T16:08:28+00:00,Total lunar eclipse
1740-01-13T22:32:48+00:00,Total lunar eclipse
1740-07-09T09:12:32+00:00,Total lunar eclipse
1741-01-01T23:46:21+00:00,Partial lunar eclipse
1741-06-28T22:47:01+00:00,Penumbral lunar eclipse
1741-11-22T20:18:48+00:00,Penumbral lunar eclipse
1741-12-22T08:04:56+00:00,Penumbral lunar eclipse
1742-05-19T14:57:52+00:00,Partial lunar eclipse
1742-11-12T12:00:59+00:00,Partial lunar eclipse
1743-05-08T15:25:23+00:00,Total lunar eclipse
1743-11-02T02:51:48+00:00,Total lunar eclipse
