datetime,event_type,duration_minutes,duration_seconds
1702-07-24T21:38:51+00:00,Hybrid or annular/total solar eclipse,01,00
1703-01-17T11:24:25+00:00,Hybrid or annular/total solar eclipse,50,00
1703-07-14T02:36:34+00:00,Partial solar eclipse,,
1703-12-08T15:41:30+00:00,Partial solar eclipse,,
1704-01-07T02:14:51+00:00,Partial solar eclipse,,
1704-06-02T13:02:36+00:00,Annular solar eclipse,26,04
1704-11-27T05:33:52+00:00,Annular solar eclipse,01,00
1705-05-22T19:55:06+00:00,Hybrid or annular/total solar eclipse,32,01
1705-11-16T13:23:06+00:00,Annular solar eclipse,31,05
1706-05-12T09:35:09+00:00,Total solar eclipse,06,04
1706-11-05T14:23:57+00:00,Annular solar eclipse,02,07
1707-04-02T18:12:25+00:00,Partial solar eclipse,,
1707-05-02T02:28:17+00:00,Partial solar eclipse,,
1707-09-25T23:05:05+00:00,Partial solar eclipse,,
1707-10-25T14:17:22+00:00,Partial solar eclipse,,
1708-03-22T06:51:37+00:00,Annular solar eclipse,46,00
1708-09-14T09:00:22+00:00,Total solar eclipse,10,02
1709-03-11T12:18:35+00:00,Annular solar eclipse,29,06
1709-09-04T00:32:26+00:00,Total solar eclipse,47,05
1710-02-28T12:07:29+00:00,Annular solar eclipse,00,08
1710-08-24T17:17:16+00:00,Total solar eclipse,00,04
1711-01-18T22:23:38+00:00,Partial solar eclipse,,
1711-02-17T13:30:15+00:00,Partial solar eclipse,,
1711-07-15T19:22:11+00:00,Partial solar eclipse,,
1712-01-08T09:58:39+00:00,Total solar eclipse,48,01
1712-07-03T22:34:57+00:00,Annular solar eclipse,18,05
1712-12-28T01:24:55+00:00,Total solar eclipse,15,04
1713-06-22T23:15:39+00:00,Annular solar eclipse,45,05
1713-12-17T16:04:20+00:00,Hybrid or annular/total solar eclipse,56,00
1714-05-13T18:39:35+00:00,Partial solar eclipse,,
1714-06-12T04:40:01+00:00,Partial solar eclipse,,
1714-11-07T09:04:34+00:00,Partial solar eclipse,,
1714-12-07T01:27:09+00:00,Partial solar eclipse,,
1715-05-03T09:36:30+00:00,Total solar eclipse,14,04
1715-10-27T09:02:48+00:00,Annular solar eclipse,02,07
1716-04-22T02:28:33+00:00,Total solar eclipse,43,05
1716-10-15T10:07:39+00:00,Annular solar eclipse,10,05
1717-04-11T16:34:40+00:00,Hybrid or annular/total solar eclipse,39,00
1717-10-04T18:08:27+00:00,Hybrid or annular/total solar eclipse,56,00
1718-03-02T07:31:37+00:00,Partial solar eclipse,,
1718-08-26T00:41:45+00:00,Partial solar eclipse,,
1718-09-24T08:34:20+00:00,Partial solar eclipse,,
1719-02-19T06:52:57+00:00,Annular solar eclipse,01,09
1719-08-15T16:59:51+00:00,Total solar eclipse,27,04
1720-02-08T09:52:31+00:00,Annular solar eclipse,40,03
1720-08-04T04:38:15+00:00,Annular solar eclipse,27,00
1721-01-27T20:05:11+00:00,Total solar eclipse,07,01
1721-07-24T09:06:55+00:00,Partial solar eclipse,,
1721-12-19T00:31:51+00:00,Partial solar eclipse,,
1722-01-17T11:07:10+00:00,Partial solar eclipse,,
1722-06-13T19:40:19+00:00,Partial solar eclipse,,
1722-12-08T14:07:35+00:00,Annular solar eclipse,28,00
1723-06-03T03:05:13+00:00,Total solar eclipse,05,02
1723-11-27T21:28:16+00:00,Annular solar eclipse,12,06
1724-05-22T17:10:09+00:00,Total solar eclipse,33,04
1724-11-15T22:07:38+00:00,Annular solar eclipse,15,07
1725-04-13T02:11:23+00:00,Partial solar eclipse,,
1725-05-12T10:12:19+00:00,Partial solar eclipse,,
1725-10-06T06:39:42+00:00,Partial solar eclipse,,
1725-11-04T22:02:52+00:00,Partial solar eclipse,,
1726-04-02T14:38:16+00:00,Annular solar eclipse,52,00
1726-09-25T16:51:45+00:00,Total solar eclipse,07,02
1727-03-22T19:47:55+00:00,Annular solar eclipse,20,06
1727-09-15T08:27:31+00:00,Total solar eclipse,33,05
1728-03-10T19:38:56+00:00,Annular solar eclipse,25,07
1728-09-04T00:59:22+00:00,Total solar eclipse,44,03
1729-01-29T06:48:43+00:00,Partial solar eclipse,,
1729-02-27T21:27:02+00:00,Partial solar eclipse,,
1729-07-26T02:10:40+00:00,Partial solar eclipse,,
1729-08-24T13:48:31+00:00,Partial solar eclipse,,
1730-01-18T18:45:15+00:00,Total solar eclipse,59,01
1730-07-15T04:59:09+00:00,Annular solar eclipse,13,05
1731-01-08T10:17:44+00:00,Total solar eclipse,10,04
1731-07-04T05:46:25+00:00,Annular solar eclipse,15,05
1731-12-29T00:46:53+00:00,Hybrid or annular/total solar eclipse,39,00
1732-06-22T11:38:48+00:00,Partial solar eclipse,,
1732-11-17T16:58:51+00:00,Partial solar eclipse,,
1732-12-17T09:46:57+00:00,Partial solar eclipse,,
1733-05-13T17:18:29+00:00,Total solar eclipse,06,04
1733-11-06T16:40:15+00:00,Annular solar eclipse,53,06
1734-05-03T10:15:56+00:00,Total solar eclipse,46,05
1734-10-26T17:53:28+00:00,Annular solar eclipse,08,05
1735-04-23T00:11:36+00:00,Hybrid or annular/total solar eclipse,44,00
1735-10-16T02:10:34+00:00,Hybrid or annular/total solar eclipse,02,01
1736-03-12T15:05:55+00:00,Partial solar eclipse,,
1736-04-11T07:18:07+00:00,Partial solar eclipse,,
